Controller,Period,Interval,Minutes_outside,Mean_distance_to_optimal_temperature,Total_daily_distance_to_setpoints,Mean_distance_to_setpoints
UPPAAL M-Learning,spring,12,509.2305240100365,0.690955173968122,80.6911298253226,0.1726720294003277
Bang-Bang,spring,24,1345,0.9506512414939302,88.05727304731097,0.2196747801650358
UPPAAL Q-Learning,spring,24,825.5679309277093,0.6622485341389093,136.88144426583898,0.17709818219775234
UPPAAL M-Learning,spring,24,824.5679309277093,0.661361160429867,137.3922589275764,0.1777688078633106
Bang-Bang,december,1,3433,1.6633767056300752,287.88576071602955,0.5040014754788738
UPPAAL Q-Learning,december,1,799.0799020360744,1.448460668763775,302.1778372447956,0.29228734035065884
UPPAAL M-Learning,december,1,836.3725094990717,1.5580293506577203,301.6730764051058,0.27986058019529575
Bang-Bang,december,4,3464,1.6544282860678057,276.2061413356236,0.47364883390085083
UPPAAL Q-Learning,december,4,821.8366517468155,1.4564728944459413,294.18222992353367,0.2911722958981425
UPPAAL M-Learning,december,4,800.9329025271522,1.4797466727569648,294.5353960651793,0.2995255795841853
Bang-Bang,december,12,3709,1.6522804691093516,273.16644069126676,0.44480842597476905
UPPAAL Q-Learning,december,12,1084.1539680016988,1.2533306626471272,441.5348293443927,0.32726437141029485
UPPAAL M-Learning,december,12,1052.5940459889246,1.3097467135039353,439.9122297472085,0.3296953575961471
Bang-Bang,december,24,3312,1.6338910971018714,248.4306400844029,0.44011609072658736
UPPAAL Q-Learning,december,24,921.5560007967946,1.3843194921819035,342.3329806570296,0.3250000566860498
UPPAAL M-Learning,december,24,887.3150610404514,1.3636716289775948,340.02546786667546,0.32876591575663267
Bang-Bang,january,1,4152,1.7811226526168547,318.74295697893416,0.4296949705615464
UPPAAL Q-Learning,january,1,1214.9579562687563,1.5953654794717216,463.8659690309977,0.2576881966135068
UPPAAL M-Learning,january,1,1201.6419782031505,1.6083529678038444,467.8880145279072,0.25887434725701725
Bang-Bang,january,4,4105,1.772344911094463,307.34289251055037,0.4126910263948801
UPPAAL Q-Learning,january,4,1392.5797420807075,1.5753642635967149,420.36610858764396,0.24162465823020282
UPPAAL M-Learning,january,4,1342.5421365892703,1.5635956167048835,418.17134603226816,0.24704813311045498
Bang-Bang,january,12,4353,1.762029258559513,290.7414488111223,0.3704505654347091
UPPAAL Q-Learning,january,12,1267.2541279833308,1.4329835128079689,441.5139963599554,0.3157241415920025
UPPAAL M-Learning,january,12,1206.17979807669,1.4264198780008461,441.52026835831003,0.3248050693684825
Bang-Bang,january,24,3826,1.746057355048812,266.222272327968,0.38031737742585425
UPPAAL Q-Learning,january,24,1103.769997532455,1.3600311184423484,415.9476502467313,0.3383362119491942
UPPAAL M-Learning,january,24,1110.3340001729903,1.354833780967285,422.6104382103549,0.3363368350445688
Bang-Bang,february,1,1209,1.1233163078564279,46.58574594770159,0.24546970543585891
UPPAAL Q-Learning,february,1,542.6657438748272,1.301637291072971,277.5726851312434,0.3690422121037616
UPPAAL M-Learning,february,1,568.9089383200082,1.4121371100329068,279.50609520678057,0.3629438113380356
Bang-Bang,february,4,1321,1.1228700663802977,45.15486281258719,0.21093290642012333
UPPAAL Q-Learning,february,4,653.7276898395845,1.0926527874501761,216.61421637388273,0.3038956238481195
UPPAAL M-Learning,february,4,671.9276114569266,1.13425220980394,218.3191064820717,0.30140854117767557
Bang-Bang,february,12,1163,1.1184386167967106,44.98615619114467,0.2182631511149054
UPPAAL Q-Learning,february,12,4227.674686710039,2.3974498026902493,6360.087720906646,1.507459295184521
UPPAAL M-Learning,february,12,3815.8850353879698,2.188661346695085,5038.760947731748,1.2888683437888229
Bang-Bang,february,24,1206,1.1269915396242935,50.378079005650115,0.23114955488731526
UPPAAL Q-Learning,february,24,3772.5101552368124,2.116714093009881,5038.4207691071615,1.2045923404125802
UPPAAL M-Learning,february,24,3450.3796233308035,1.852746939662918,3327.4757044001476,0.8978261340428624
Bang-Bang,march,1,1184,0.5360508429380976,79.64287458147321,0.3565054891779198
UPPAAL Q-Learning,march,1,90.61358747181612,0.48451311230972227,1.6866257212802023,0.02636462627692585
UPPAAL M-Learning,march,1,82.06565921612724,0.4382629172877771,2.4374575162272003,0.04260027629167674
Bang-Bang,march,4,1286,0.5368729786531586,79.7005124773298,0.3354438930331699
UPPAAL Q-Learning,march,4,332.8592188810724,0.4756185307406688,4.763261994035067,0.03364368312105318
