,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
117,2025-03-11 01:58:00+00:00,7.538159179530001,26.26,3.6,20.5,24.5,0.0
118,2025-03-11 01:59:00+00:00,7.538159179530001,26.25333333333333,3.6,20.5,24.5,0.0
119,2025-03-11 02:00:00+00:00,7.538159179530001,26.26,3.6,20.5,24.5,0.0
120,2025-03-11 02:01:00+00:00,7.538159179530001,26.25333333333333,3.6,20.5,24.5,0.0
121,2025-03-11 02:02:00+00:00,7.538159179530001,26.25333333333333,3.6,20.5,24.5,0.0
122,2025-03-11 02:03:00+00:00,7.538159179530001,26.25333333333333,3.6,20.5,24.5,0.0
123,2025-03-11 02:04:00+00:00,7.538159179530001,26.24,3.6,20.5,24.5,0.0
124,2025-03-11 02:05:00+00:00,7.538159179530001,26.226666666666667,3.6,20.5,24.5,0.0
125,2025-03-11 02:06:00+00:00,7.538159179530001,26.22,3.6,20.5,24.5,0.0
126,2025-03-11 02:07:00+00:00,7.538159179530001,26.22,3.6,20.5,24.5,0.0
127,2025-03-11 02:08:00+00:00,7.538159179530001,26.21333333333333,3.6,20.5,24.5,0.0
128,2025-03-11 02:09:00+00:00,7.538159179530001,26.21333333333333,3.6,20.5,24.5,0.0
129,2025-03-11 02:10:00+00:00,7.538159179530001,26.206666666666667,3.6,20.5,24.5,0.0
130,2025-03-11 02:11:00+00:00,7.538159179530001,26.206666666666667,3.6,20.5,24.5,0.0
131,2025-03-11 02:12:00+00:00,7.538159179530001,26.206666666666663,3.6,20.5,24.5,0.0
132,2025-03-11 02:13:00+00:00,7.538159179530001,26.200000000000003,3.6,20.5,24.5,0.0
133,2025-03-11 02:14:00+00:00,7.538159179530001,26.206666666666667,3.6,20.5,24.5,0.0
134,2025-03-11 02:15:00+00:00,7.538159179530001,26.2,3.6,20.5,24.5,0.0
135,2025-03-11 02:16:00+00:00,7.538159179530001,26.21333333333333,3.6,20.5,24.5,0.0
136,2025-03-11 02:17:00+00:00,7.538159179530001,26.206666666666663,3.6,20.5,24.5,0.0
137,2025-03-11 02:18:00+00:00,7.538159179530001,26.21333333333333,3.6,20.5,24.5,0.0
138,2025-03-11 02:19:00+00:00,7.538159179530001,26.21333333333333,3.6,20.5,24.5,0.0
139,2025-03-11 02:20:00+00:00,7.538159179530001,26.22666666666667,3.6,20.5,24.5,0.0
140,2025-03-11 02:21:00+00:00,7.538159179530001,26.226666666666667,3.6,20.5,24.5,0.0
141,2025-03-11 02:22:00+00:00,7.538159179530001,26.226666666666667,3.6,20.5,24.5,0.0
142,2025-03-11 02:23:00+00:00,7.538159179530001,26.23333333333333,3.6,20.5,24.5,0.0
143,2025-03-11 02:24:00+00:00,7.538159179530001,26.23333333333333,3.6,20.5,24.5,0.0
144,2025-03-11 02:25:00+00:00,7.538159179530001,26.226666666666667,3.6,20.5,24.5,0.0
145,2025-03-11 02:26:00+00:00,7.538159179530001,26.226666666666667,3.6,20.5,24.5,0.0
146,2025-03-11 02:27:00+00:00,7.538159179530001,26.22,3.6,20.5,24.5,0.0
147,2025-03-11 02:28:00+00:00,7.538159179530001,26.219999999999995,3.6,20.5,24.5,0.0
148,2025-03-11 02:29:00+00:00,7.538159179530001,26.226666666666667,3.6,20.5,24.5,0.0
149,2025-03-11 02:30:00+00:00,7.538159179530001,26.226666666666667,3.5,20.5,24.5,0.0
