,time,solar_watt,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,lux
76,2024-12-28 19:23:00+00:00,4.2584228516,22.046666666666667,5.6,22.0,26.0,4.0534391403
77,2024-12-28 19:38:00+00:00,4.2584228516,22.060000000000002,5.9,22.0,26.0,4.0707483292
78,2024-12-28 19:53:00+00:00,4.2584228516,22.053333333333335,5.9,22.0,26.0,4.0812945366
79,2024-12-28 20:08:00+00:00,4.2584228516,22.06,5.9,22.0,26.0,4.0798139572
80,2024-12-28 20:23:00+00:00,4.2584228516,22.046666666666667,5.9,22.0,26.0,4.0493855476
81,2024-12-28 20:38:00+00:00,4.2584228516,22.033333333333335,6.0,22.0,26.0,4.0338497162
82,2024-12-28 20:53:00+00:00,4.2584228516,22.026666666666664,6.0,22.0,26.0,4.0402302742
83,2024-12-28 21:08:00+00:00,4.2584228516,22.04666666666667,6.0,22.0,26.0,4.0168352127
84,2024-12-28 21:23:00+00:00,4.2584228516,22.066666666666666,6.0,22.0,26.0,4.0236253738
85,2024-12-28 21:38:00+00:00,4.2584228516,22.06,6.2,22.0,26.0,4.1170291901
86,2024-12-28 21:53:00+00:00,4.2584228516,22.046666666666667,6.2,22.0,26.0,4.1162724495
87,2024-12-28 22:08:00+00:00,4.2584228516,22.04,6.2,22.0,26.0,4.051223278
88,2024-12-28 22:24:00+00:00,4.2584228516,22.04285714285714,6.2,22.0,26.0,4.0394415855
89,2024-12-28 22:39:00+00:00,4.2584228516,22.046153846153842,6.3,22.0,26.0,3.9769778252
90,2024-12-28 22:54:00+00:00,4.2584228516,22.049999999999997,6.3,22.0,26.0,4.0976033211
91,2024-12-28 23:09:00+00:00,4.2584228516,22.045454545454547,6.3,22.0,26.0,4.0246157646
92,2024-12-28 23:24:00+00:00,4.2584228516,22.04,6.3,22.0,26.0,4.0599341393
93,2024-12-28 23:39:00+00:00,4.2584228516,22.055555555555557,6.5,22.0,26.0,4.0472903252
94,2024-12-28 23:54:00+00:00,4.2584228516,22.037499999999998,6.5,22.0,26.0,4.0171585083
