,time,solar_watt,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,lux,wind,heater_valve,ventilation_supply_damper
106,2025-02-25 01:46:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0515298843,3.6406154633,0.0,0.0
107,2025-02-25 01:47:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0611495972,3.6406154633,0.0,0.0
108,2025-02-25 01:48:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0591163635,3.6406154633,0.0,0.0
109,2025-02-25 01:49:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0773024559,3.6406154633,0.0,0.0
110,2025-02-25 01:50:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.1213011742,4.6467046738,0.0,0.0
111,2025-02-25 01:51:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.1095218658,4.6467046738,0.0,0.0
112,2025-02-25 01:52:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0656957626,4.6467046738,0.0,0.0
113,2025-02-25 01:53:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0588612556,4.6467046738,0.0,0.0
114,2025-02-25 01:54:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0591292381,4.6467046738,0.0,0.0
115,2025-02-25 01:55:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0710806847,4.6467046738,0.0,0.0
116,2025-02-25 01:56:00+00:00,4.1783447266,21.3,6.1,21.0,25.0,4.0553159714,4.6467046738,0.0,0.0
117,2025-02-25 01:57:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0382413864,4.6467046738,0.0,0.0
118,2025-02-25 01:58:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.029753685,4.6467046738,0.0,0.0
119,2025-02-25 01:59:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0844931602,4.6467046738,0.0,0.0
120,2025-02-25 02:00:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.1291069984,4.6467046738,0.0,0.0
121,2025-02-25 02:01:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.14021492,4.6467046738,0.0,0.0
122,2025-02-25 02:02:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0955123901,4.6467046738,0.0,0.0
123,2025-02-25 02:03:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0614118576,4.6467046738,0.0,0.0
124,2025-02-25 02:04:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0591788292,4.6467046738,0.0,0.0
125,2025-02-25 02:05:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0797429085,4.6467046738,0.0,0.0
126,2025-02-25 02:06:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0709934235,4.6467046738,0.0,0.0
127,2025-02-25 02:07:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0501790047,4.6467046738,0.0,0.0
128,2025-02-25 02:08:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0363082886,4.6467046738,0.0,0.0
129,2025-02-25 02:09:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0196976662,4.6467046738,0.0,0.0
130,2025-02-25 02:10:00+00:00,4.1783447266,21.3,6.1,21.0,25.0,4.0577702522,4.6467046738,0.0,0.0
131,2025-02-25 02:11:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0894126892,4.6467046738,0.0,0.0
132,2025-02-25 02:12:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0872001648,4.6467046738,0.0,0.0
133,2025-02-25 02:13:00+00:00,4.1783447266,21.3,6.1,21.0,25.0,4.0440220833,4.6467046738,0.0,0.0
134,2025-02-25 02:14:00+00:00,4.1783447266,21.3,6.1,21.0,25.0,4.0261564255,4.6467046738,0.0,0.0
135,2025-02-25 02:15:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.104514122,4.6467046738,0.0,0.0
136,2025-02-25 02:16:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.1268968582,4.6467046738,0.0,0.0
137,2025-02-25 02:17:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.091758728,4.6467046738,0.0,0.0
138,2025-02-25 02:18:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0560874939,4.6467046738,0.0,0.0
139,2025-02-25 02:19:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0275082588,4.6467046738,0.0,0.0
140,2025-02-25 02:20:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0761594772,4.6467046738,0.0,0.0
141,2025-02-25 02:21:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.177918911,4.6467046738,0.0,0.0
142,2025-02-25 02:22:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.1421647072,4.6467046738,0.0,0.0
143,2025-02-25 02:23:00+00:00,4.1783447266,21.3,6.1,21.0,25.0,4.0795731544,4.6467046738,0.0,0.0
144,2025-02-25 02:24:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0657186508,4.6467046738,0.0,0.0
145,2025-02-25 02:25:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0995278358,4.6467046738,0.0,0.0
146,2025-02-25 02:26:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.1155171394,4.6467046738,0.0,0.0
147,2025-02-25 02:27:00+00:00,4.1783447266,21.3,6.1,21.0,25.0,4.0705814362,4.6467046738,0.0,0.0
148,2025-02-25 02:28:00+00:00,4.1783447266,20.8,6.1,21.0,25.0,4.0571961403,4.6467046738,0.0,0.0
149,2025-02-25 02:29:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0445170403,4.6467046738,0.0,0.0
150,2025-02-25 02:30:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0144710541,4.6467046738,0.0,0.0
151,2025-02-25 02:31:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.03297472,4.6467046738,0.0,0.0
152,2025-02-25 02:32:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0706348419,4.6467046738,0.0,0.0
153,2025-02-25 02:33:00+00:00,4.1783447266,21.3,5.7,21.0,25.0,4.0648722649,4.6467046738,0.0,0.0
154,2025-02-25 02:34:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0427513123,4.6467046738,0.0,0.0
155,2025-02-25 02:35:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0378298759,3.6338310242,0.0,0.0
156,2025-02-25 02:36:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0215640068,3.6338310242,0.0,0.0
157,2025-02-25 02:37:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0526342392,3.6338310242,0.0,0.0
158,2025-02-25 02:38:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0905532837,3.6338310242,0.0,0.0
159,2025-02-25 02:39:00+00:00,4.1783447266,21.1,5.7,21.0,25.0,4.0632767677,3.6338310242,0.0,0.0
160,2025-02-25 02:40:00+00:00,4.1783447266,21.1,5.7,21.0,25.0,4.039937973,3.6338310242,0.0,0.0
